v8-version,6,2,414,54,0
code-creation,Stub,3,2160,0x3485bc33a720,89,"DoubleToIStub"
code-creation,Stub,3,2173,0x3485bc33a7e0,2118,"RecordWriteStub"
code-creation,Stub,3,2173,0x3485bc33b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,2174,0x3485bc33b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,2174,0x3485bc33ba40,87,"DoubleToIStub"
code-creation,Stub,3,2175,0x3485bc33bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2175,0x3485bc33bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,2176,0x3485bc33c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,2177,0x3485bc33c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,2177,0x3485bc33c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,2178,0x3485bc33d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,2178,0x3485bc33db40,2087,"RecordWriteStub"
code-creation,Stub,3,2188,0x3485bc33e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,2189,0x3485bc33ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,2189,0x3485bc33ef60,884,"RecordWriteStub"
code-creation,Stub,3,2190,0x3485bc33f340,2088,"RecordWriteStub"
code-creation,Stub,3,2190,0x3485bc33fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,2191,0x3485bc340480,2088,"RecordWriteStub"
code-creation,Stub,3,2191,0x3485bc340d20,308,"CEntryStub"
code-creation,Stub,3,2192,0x3485bc340ec0,2130,"RecordWriteStub"
code-creation,Stub,3,2192,0x3485bc341780,2130,"RecordWriteStub"
code-creation,Stub,3,2193,0x3485bc342040,2148,"RecordWriteStub"
code-creation,Stub,3,2194,0x3485bc342920,2118,"RecordWriteStub"
code-creation,Stub,3,2194,0x3485bc3431e0,2075,"RecordWriteStub"
code-creation,Stub,3,2195,0x3485bc343a60,1246,"RecordWriteStub"
code-creation,Handler,4,2195,0x3485bc343fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,2196,0x3485bc344260,2126,"RecordWriteStub"
code-creation,Stub,3,2196,0x3485bc344b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2197,0x3485bc344c60,2063,"RecordWriteStub"
code-creation,Stub,3,2198,0x3485bc3454e0,2100,"RecordWriteStub"
code-creation,Stub,3,2198,0x3485bc345d80,2103,"RecordWriteStub"
code-creation,Handler,4,2199,0x3485bc346620,552,"An IC handler from the snapshot"
code-creation,Stub,3,2199,0x3485bc3468c0,896,"RecordWriteStub"
code-creation,Stub,3,2200,0x3485bc346ca0,2100,"RecordWriteStub"
code-creation,Stub,3,2200,0x3485bc347540,2104,"RecordWriteStub"
code-creation,Stub,3,2201,0x3485bc347de0,1246,"RecordWriteStub"
code-creation,Stub,3,2201,0x3485bc348320,2100,"RecordWriteStub"
code-creation,Stub,3,2211,0x3485bc348bc0,2072,"RecordWriteStub"
code-creation,Stub,3,2212,0x3485bc349440,2099,"RecordWriteStub"
code-creation,Stub,3,2212,0x3485bc349ce0,2134,"RecordWriteStub"
code-creation,Stub,3,2213,0x3485bc34a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,2214,0x3485bc34ae40,2100,"RecordWriteStub"
code-creation,Stub,3,2214,0x3485bc34b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,2215,0x3485bc34b8a0,25,"Abort"
code-creation,Stub,3,2215,0x3485bc34b920,2114,"RecordWriteStub"
code-creation,Builtin,5,2216,0x3485bc34c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,2217,0x3485bc34c260,28,"ReturnReceiver"
code-creation,Builtin,5,2217,0x3485bc34c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,2218,0x3485bc34c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,2219,0x3485bc34c660,223,"CreateIterResultObject"
code-creation,Builtin,5,2219,0x3485bc34c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,2220,0x3485bc34c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,2220,0x3485bc34cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
